episode,rewards_total
260,-212.902519949
261,-212.805140217
262,-212.841728383
263,-212.878555265
264,-212.848381451
265,-212.859764076
266,-212.873410447
267,-212.786084768
268,-212.844062011
269,-212.832816578
270,-212.867046628
271,-212.880393599
272,-212.881154987
273,-212.808808066
274,-212.808314307
275,-212.847257865
276,-212.881565744
277,-212.870758699
278,-212.866171389
279,-212.846090962
280,-212.808132725
281,-212.799737893
282,-212.892074846
283,-212.875898638
284,-212.800295223
285,-212.872957865
286,-212.846614632
287,-212.820877017
288,-212.825826356
289,-212.826617936
290,-213.007257969
291,-212.88558215
292,-212.880984384
293,-212.826095057
294,-212.818412885
295,-212.838381966
296,-212.818820175
297,-212.883843537
298,-212.801280731
299,-212.798635321
300,-212.922278066
301,-212.873685145
302,-212.875162245
303,-212.81287561
304,-212.905877643
305,-212.829930088
306,-212.814062405
307,-212.864492125
308,-212.793187863
309,-212.899443446
310,-212.84386956
311,-212.836859832
312,-212.807367869
313,-212.856843663
314,-212.859397317
315,-212.799354213
316,-212.875943383
317,-212.841969972
318,-212.915717997
319,-212.798966611
320,-212.840728916
321,-212.795450181
322,-212.9018593
323,-212.848254561
324,-212.873828012
325,-212.861026847
326,-212.836545798
327,-212.805060691
328,-212.827654407
329,-212.841151201
330,-212.819483151
331,-212.815798875
332,-212.829707888
333,-212.816351039
334,-212.822040058
335,-212.893328446
336,-212.829899994
337,-212.84997109
338,-212.866231744
339,-212.854009589
340,-212.810061388
341,-212.831443096
342,-212.829722504
343,-212.791640597
344,-212.887140409
